item_id,question_id,pipeline,question,evidence,sql_gold,sql_generated,execution_status,execution_error,annotator_a,annotator_b,comment
D_bird_mini_255,bird_mini_255,D,What proportion of single bonds are carcinogenic? Please provide your answer as a percentage with five decimal places.,"single bond refers to bond_type = '-'; label = '+' mean molecules are carcinogenic; proportion = DIVIDE(SUM(label = '+') * 100, COUNT(bond_id)) where bond_type = '-'","SELECT ROUND(CAST(COUNT(CASE WHEN T2.label = '+' THEN T1.bond_id ELSE NULL END) AS REAL) * 100 / COUNT(T1.bond_id),5) FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '-'","SELECT
    ROUND(SUM(CASE WHEN T1.bond_type = '-' AND T2.label = '+' THEN 1 ELSE 0 END) * 100.0 / COUNT(T1.bond_id), 5) AS carcinogenic_proportion
FROM
    bond T1
JOIN
    molecule T2 ON T1.molecule_id = T2.molecule_id
WHERE
    T1.bond_type = '-';",correct,,correct,correct,"Meme logique de calcul que le gold, resultat identique."
B_bird_mini_1205,bird_mini_1205,B,Was the patient with the number 57266's uric acid within a normal range?,uric acid within a normal range refers to UA > 8.0 and SEX = 'M'OR UA > 6.5 and SEX = 'F',SELECT CASE WHEN (T1.SEX = 'F' AND T2.UA > 6.5) OR (T1.SEX = 'M' AND T2.UA > 8.0) THEN true ELSE false END FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.ID = 57266,"SELECT
    CASE
        WHEN L.UA IS NULL THEN 'Not Available'
        ELSE L.UA
    END AS Uric_Acid
FROM
    Patient P
JOIN
    Laboratory L ON P.ID = L.ID
WHERE
    P.ID = 57266
AND
    L.UA IS NOT NULL;",incorrect,,semantic,semantic,Ne repond pas a la question booleenne posee : retourne la valeur UA au lieu d'evaluer si elle est dans la norme selon le sexe.
D_bird_mini_206,bird_mini_206,D,What elements are in the TR004_8_9 bond atoms?,TR004_8_9 bond atoms refers to bond_id = 'TR004_8_9';,SELECT DISTINCT T1.element FROM atom AS T1 INNER JOIN connected AS T2 ON T1.atom_id = T2.atom_id WHERE T2.bond_id = 'TR004_8_9',"SELECT DISTINCT a1.element, a2.element
FROM atom a1
JOIN connected c ON a1.atom_id = c.atom_id
JOIN bond b ON c.bond_id = b.bond_id
JOIN atom a2 ON c.atom_id2 = a2.atom_id
JOIN molecule m ON a1.molecule_id = m.molecule_id
WHERE b.bond_id = 'TR004_8_9';",incorrect,,semantic,semantic,Structure de resultat differente : deux colonnes d'elements (deux atomes) au lieu de la liste distincte d'elements attendue.
D_bird_mini_988,bird_mini_988,D,List down top 3 German drivers who has the shortest average pit stop duration and were born between 1980-1985.,"Full name of the driver refers to drivers.forename and drivers.surname; born between 1980-1985 refers to 1980<= year(dob) <=1985; Average pitstop duration refers to Divide(SUM(duration),COUNT(duration)); shortest average refers to Min(avg(duration));","SELECT T2.forename, T2.surname FROM pitStops AS T1 INNER JOIN drivers AS T2 on T1.driverId = T2.driverId WHERE T2.nationality = 'German' AND STRFTIME('%Y', T2.dob) BETWEEN '1980' AND '1985' GROUP BY T2.forename, T2.surname ORDER BY AVG(T1.duration) LIMIT 3","SELECT d.driverId, d.forename, d.surname, AVG(p.duration) AS avg_pit_stop_duration
FROM drivers d
JOIN pitStops p ON d.driverId = p.driverId
WHERE d.nationality = 'GER' AND 1980 <= EXTRACT(YEAR FROM d.dob) AND EXTRACT(YEAR FROM d.dob) <= 1985
GROUP BY d.driverId, d.forename, d.surname
ORDER BY avg_pit_stop_duration ASC
LIMIT 3;",incorrect,"SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : near ""FROM"": syntax error",structural,structural,Erreur de syntaxe SQL (mise en forme invalide autour de FROM).
D_bird_mini_1506,bird_mini_1506,D,Please list the product descriptions of the transactions taken place in the gas stations in the Czech Republic.,Czech Republic can be represented as the Country value in the gasstations table is 'CZE';,SELECT DISTINCT T3.Description FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN products AS T3 ON T1.ProductID = T3.ProductID WHERE T2.Country = 'CZE',"SELECT p.Description
FROM products p
JOIN transactions_1k t ON p.ProductID = t.ProductID
JOIN gasstations g ON t.GasStationID = g.GasStationID
WHERE g.Country = 'CZE';",incorrect,,ambiguous,ambiguous,"Meme logique de jointure et de filtre que le gold, mais absence de DISTINCT : risque de doublons dans le resultat."
B_bird_mini_765,bird_mini_765,B,How many heroes have stealth power?,stealth power refers to power_name = 'Stealth';,SELECT COUNT(T1.hero_id) FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id WHERE T2.power_name = 'Stealth',"SELECT COUNT(hp.hero_id)
FROM hero_power hp
JOIN superpower sp ON hp.power_id = sp.id
WHERE sp.power_name = 'stealth';",incorrect,,semantic,semantic,"Filtre 'stealth' au lieu de 'Stealth' : comparaison sensible a la casse, resultat probablement vide."
B_bird_mini_1232,bird_mini_1232,B,"Provide ID, sex and age of patient who has blood glucose (GLU) not within normal range but with total cholesterol(T-CHO) within normal range.","age = SUBTRACT(year(current_timestamp), year(Birthday)); blood glucose (GLU) not within normal range refers to GLU > = 180; total cholesterol(T-CHO) within normal range refers to `T-CHO` < 250;","SELECT DISTINCT T1.ID, T1.SEX , STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.GLU >= 180 AND T2.`T-CHO` < 250","SELECT
    p.ID,
    p.SEX,
    FLOOR(DATEDIFF(CURDATE(), p.Birthday) / 365) AS age
FROM
    Patient p
JOIN
    Laboratory l ON p.ID = l.ID
WHERE
    l.GLU NOT IN (NORMAL_GLUCOSE_RANGE)
    AND l.T_CHO IN (NORMAL_TOTAL_CHOLESTEROL_RANGE);",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: CURDATE,structural,structural,"Fonctions/valeurs inexistantes utilisees (CURDATE, DATEDIFF, NORMAL_GLUCOSE_RANGE non definie)."
B_bird_mini_1201,bird_mini_1201,B,What percentage of patients who were born in 1980 and were diagnosed with RA are women?,"born in 1980 refers to YEAR(BIRTHDAY) = '1980'; 'RA' refers to Diagnosis='RA' ; women refers to SEX = 'F'; calculation = DIVIDE(SUM(SEX = 'F'), COUNT(SEX)) * 100","SELECT CAST(SUM(CASE WHEN SEX = 'F' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(ID) FROM Patient WHERE Diagnosis = 'RA' AND STRFTIME('%Y', Birthday) = '1980'","SELECT
    CAST(SUM(CASE WHEN SEX = 'F' THEN 1 ELSE 0 END) AS FLOAT) * 100 / COUNT(*)
FROM
    Patient
WHERE
    Birthday LIKE '1980%'
    AND Diagnosis = 'RA';",correct,,correct,correct,"LIKE '1980%' equivalent a STRFTIME('%Y',...)='1980' pour ce cas, meme filtre et resultat."
D_bird_mini_340,bird_mini_340,D,Which are the cards that have incredibly powerful foils.,incredibly poweful foils refers to cardKingdomFoilId is not null AND cardKingdomId is not null,SELECT id FROM cards WHERE cardKingdomFoilId IS NOT NULL AND cardKingdomId IS NOT NULL,"SELECT id, name, cardKingdomFoilId, cardKingdomId
FROM cards
WHERE cardKingdomFoilId IS NOT NULL AND cardKingdomId IS NOT NULL;",incorrect,,ambiguous,ambiguous,"Meme filtre que le gold mais colonnes supplementaires (name, cardKingdomFoilId, cardKingdomId) non demandees."
B_bird_mini_532,bird_mini_532,B,Please list the display names of all the users whose accounts were created in the year 2011.,account created in the year 2011 refers to year(CreationDate) = 2011,"SELECT DisplayName FROM users WHERE STRFTIME('%Y', CreationDate) = '2011'","SELECT DisplayName
FROM users
WHERE YEAR(CreationDate) = 2011;",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: YEAR,structural,structural,Fonction YEAR() inexistante en SQLite (utiliser STRFTIME).
D_bird_mini_571,bird_mini_571,D,"For the user No.24, how many times is the number of his/her posts compared to his/her votes?","user no. 24 refers to UserId = OwnerUserId = '24'; times of his/her post than votes = Divide (Count(post.Id), Count(votes.Id))",SELECT CAST(COUNT(DISTINCT T2.Id) AS REAL) / COUNT(DISTINCT T1.Id) FROM votes AS T1 INNER JOIN posts AS T2 ON T1.UserId = T2.OwnerUserId WHERE T1.UserId = 24,"SELECT
    COUNT(posts.Id) AS PostCount,
    COUNT(votes.Id) AS VoteCount,
    COUNT(posts.Id) / COUNT(votes.Id) AS PostToVoteRatio
FROM
    posts
JOIN
    votes ON posts.OwnerUserId = votes.UserId
WHERE
    posts.OwnerUserId = '24';",incorrect,,semantic,semantic,Jointure sans DISTINCT provoque un produit cartesien qui fausse le comptage et donc le ratio.
B_bird_mini_1529,bird_mini_1529,B,"What is the amount spent by customer ""38508"" at the gas stations? How much had the customer spent in January 2012?",January 2012 refers to the Date value = '201201',"SELECT SUM(T1.Price ) , SUM(IIF(T3.Date = '201201', T1.Price, 0)) FROM transactions_1k AS T1 INNER JOIN gasstations AS T2 ON T1.GasStationID = T2.GasStationID INNER JOIN yearmonth AS T3 ON T1.CustomerID = T3.CustomerID WHERE T1.CustomerID = '38508'","SELECT
    SUM(t.Amount) AS Total_Spent
FROM
    transactions_1k t
JOIN
    yearmonth y ON t.CustomerID = y.CustomerID AND t.Date = y.Date
WHERE
    t.CustomerID = '38508' AND
    y.Date >= '2012-01-01' AND
    y.Date < '2013-01-01';",incorrect,,semantic,semantic,Mauvaise condition de jointure (Date=Date au lieu de CustomerID uniquement) et montant total general manquant dans le resultat.
D_bird_mini_201,bird_mini_201,D,What is the percentage of carbon in double-bond molecules?,"carbon refers to element = 'c'; double-bond molecules refers to bond_type = '='; percentage = DIVIDE(SUM(element = 'c'), COUNT(atom_id))",SELECT CAST(COUNT(DISTINCT CASE WHEN T1.element = 'c' THEN T1.atom_id ELSE NULL END) AS REAL) * 100 / COUNT(DISTINCT T1.atom_id) FROM atom AS T1 INNER JOIN bond AS T2 ON T1.molecule_id = T2.molecule_id WHERE T2.bond_type = '=',"SELECT
    (SUM(CASE WHEN element = 'c' THEN 1 ELSE 0 END) * 100.0 / COUNT(atom_id)) AS carbon_percentage
FROM
    atom a
JOIN
    bond b ON a.molecule_id = (SELECT molecule_id FROM molecule WHERE molecule_id = b.molecule_id)
WHERE
    b.bond_type = '=';",incorrect,,semantic,semantic,Absence de DISTINCT alors que la jointure atome-liaison cree des doublons : pourcentage errone.
D_bird_mini_1239,bird_mini_1239,D,Name the ID and age of patient with two or more laboratory examinations which show their hematoclit level exceeded the normal range.,"age = SUBTRACT(year(current_timestamp), year(Birthday)); patient with two or more laboratory examinations refers to COUNT(ID) > 2; hematoclit level exceeded the normal range refers to HCT > = 52;","SELECT DISTINCT T1.ID, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T1.Birthday) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T1.ID IN ( SELECT ID FROM Laboratory WHERE HCT >= 52 GROUP BY ID HAVING COUNT(ID) >= 2 )","SELECT p.ID, age(p.Birthday) AS age
FROM Patient p
JOIN Laboratory l ON p.ID = l.ID
WHERE l.HCT >= 52 AND COUNT(l.ID) > 2
GROUP BY p.ID, p.Birthday;",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: age,structural,structural,Fonction age() inexistante ; agregat COUNT utilise directement dans WHERE (invalide).
D_bird_mini_764,bird_mini_764,D,What are the superpowers of heroes with ID 1?,superpowers refers to power_name; heroes with ID 1 refers to hero_id = 1;,SELECT DISTINCT T2.power_name FROM hero_power AS T1 INNER JOIN superpower AS T2 ON T1.power_id = T2.id WHERE T1.hero_id = 1,"SELECT p.power_name
FROM hero_power hp
JOIN superpower p ON hp.power_id = p.id
WHERE hp.hero_id = 1;",correct,,correct,correct,Meme logique de jointure et de filtre que le gold.
B_bird_mini_98,bird_mini_98,B,"Among the accounts who have approved loan date in 1997, list out the accounts that have the lowest approved amount and choose weekly issuance statement.",'POPLATEK TYDNE' stands for weekly issuance,"SELECT T2.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T1.date) = '1997' AND T2.frequency = 'POPLATEK TYDNE' ORDER BY T1.amount LIMIT 1","SELECT account_id
FROM loan
WHERE date BETWEEN '1997-01-01' AND '1997-12-31'
GROUP BY account_id
HAVING MIN(amount) = amount
ORDER BY date;",incorrect,,semantic,semantic,Filtre frequency='POPLATEK TYDNE' manquant et logique HAVING/ORDER incorrecte (ne trie pas par montant minimal).
D_bird_mini_862,bird_mini_862,D,"For the Bahrain Grand Prix in 2007, how many drivers not finished the game?",Bahrain Grand Prix refers to races.name = 'Bahrain Grand Prix'; drivers who finished the race refers to time is not empty (i.e. time IS NOT NULL);,SELECT COUNT(T3.driverId) FROM races AS T1 INNER JOIN results AS T2 ON T2.raceId = T1.raceId INNER JOIN drivers AS T3 ON T3.driverId = T2.driverId WHERE T1.year = 2007 AND T1.name = 'Bahrain Grand Prix' AND T2.time IS NULL,"SELECT COUNT(DISTINCT driverId) AS drivers_not_finished
FROM results
JOIN races ON results.raceId = races.raceId
WHERE races.name = 'Bahrain Grand Prix' AND races.year = 2007 AND results.time IS NULL;",correct,,correct,correct,Meme logique de jointure et de filtre que le gold.
D_bird_mini_99,bird_mini_99,D,"Among the accounts who have loan validity more than 12 months, list out the accounts that have the highest approved amount and have account opening date in 1993.",Loan validity more than 12 months refers to duration > 12,"SELECT T1.account_id FROM loan AS T1 INNER JOIN account AS T2 ON T1.account_id = T2.account_id WHERE STRFTIME('%Y', T2.date) = '1993' AND T1.duration > 12 ORDER BY T1.amount DESC LIMIT 1","SELECT l.account_id
FROM loan l
JOIN account a ON l.account_id = a.account_id
WHERE l.duration > 12
  AND a.date >= '1993-01-01' AND a.date <= '1993-12-31'
  AND l.amount = (
    SELECT MAX(l2.amount)
    FROM loan l2
    WHERE l2.account_id = l.account_id AND l2.duration > 12
  );",incorrect,,semantic,semantic,Sous-requete correlee renvoie le montant maximal par compte au lieu du montant maximal global parmi tous les comptes eligibles.
D_bird_mini_232,bird_mini_232,D,Please list top three molecules that have single bonds between two atoms and are not carcinogenic in alphabetical order.,label = '-' means molecules are not carcinogenic; single type bond refers to bond_type = '-'; list top three molecules refers to return molecule_id and order by molecule_id;,SELECT DISTINCT T2.molecule_id FROM bond AS T1 INNER JOIN molecule AS T2 ON T1.molecule_id = T2.molecule_id WHERE T1.bond_type = '-' AND T2.label = '-' ORDER BY T2.molecule_id LIMIT 3,"SELECT m.molecule_id
FROM molecule m
JOIN atom a1 ON m.molecule_id = a1.molecule_id
JOIN connected c ON a1.atom_id = c.atom_id
JOIN bond b ON c.bond_id = b.bond_id
JOIN atom a2 ON c.atom_id2 = a2.atom_id
WHERE b.bond_type = '-' AND m.label = '-' AND a1.molecule_id = a2.molecule_id
GROUP BY m.molecule_id
ORDER BY m.molecule_id
LIMIT 3;",correct,,correct,correct,Le resultat distinct de molecule_id correspond au gold malgre des jointures supplementaires.
D_bird_mini_1323,bird_mini_1323,D,List all the names of events that had an attendance of over 20 students but were not fundraisers.,name of events refers to event_name; attendance of over 20 students COUNT(event_id) > 20.,SELECT T1.event_name FROM event AS T1 INNER JOIN attendance AS T2 ON T1.event_id = T2.link_to_event GROUP BY T1.event_id HAVING COUNT(T2.link_to_event) > 20 EXCEPT SELECT T1.event_name FROM event AS T1  WHERE T1.type = 'Fundraiser',"SELECT e.event_name
FROM event e
JOIN attendance a ON e.event_id = a.link_to_event
LEFT JOIN budget b ON e.event_id = b.link_to_event
WHERE a.event_id IS NOT NULL AND COUNT(a.link_to_event) > 20 AND b.event_status != 'fundraiser';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such column: a.event_id,structural,structural,Colonne event_id inexistante dans la table attendance.
D_bird_mini_194,bird_mini_194,D,"Provide the IDs and age of the client with high level credit card, which is eligible for loans.",the credit card is high-level refers to card.type = 'gold'; eligible for loans refers to disp.type = 'OWNER',"SELECT T1.client_id, STRFTIME('%Y', CURRENT_TIMESTAMP) - STRFTIME('%Y', T3.birth_date) FROM disp AS T1 INNER JOIN card AS T2 ON T2.disp_id = T1.disp_id INNER JOIN client AS T3 ON T1.client_id = T3.client_id WHERE T2.type = 'gold' AND T1.type = 'OWNER'","SELECT
    c.client_id,
    DATE_PART('year', AGE(c.birth_date)) AS age
FROM
    client c
JOIN
    disp d ON c.client_id = d.client_id
JOIN
    card cr ON c.client_id = cr.client_id
WHERE
    cr.type = 'gold'
    AND d.type = 'OWNER';",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : no such function: DATE_PART,structural,structural,"Fonction DATE_PART inexistante ; jointure de card via client_id au lieu de disp_id, incompatible avec le schema."
D_bird_mini_1275,bird_mini_1275,D,"Among the patients who has a normal level of anti-centromere and a normal level of anti-SSB, how many of them are male?","normal level of anti-centromere refers to CENTROMEA IN('-', '+-'); normal level of anti-SSB refers to SSB IN('-', '+-'); male refers to Sex = 'M'; Should consider DISTINCT in the final result;","SELECT COUNT(DISTINCT T1.ID) FROM Patient AS T1 INNER JOIN Laboratory AS T2 ON T1.ID = T2.ID WHERE T2.CENTROMEA IN ('negative', '0') AND T2.SSB IN ('negative', '0') AND T1.SEX = 'M'","SELECT COUNT(DISTINCT ID)
FROM Patient P
JOIN Examination E ON P.ID = E.ID
WHERE P.SEX = 'M' AND E.CENTROMEA IN ('-', '+-') AND E.SSB IN ('-', '+-');",incorrect,SQL gÃ©nÃ©rÃ© en Ã©chec Ã  l'exÃ©cution : ambiguous column name: ID,structural,structural,Nom de colonne ID ambigu (present dans plusieurs tables jointes) ; jointure avec Examination au lieu de Laboratory.
